City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Ugoofaaru,MV,82.26,light rain,5.6667,73.0,Ungoofaaru Inn
15,Celestun,MX,84.34,broken clouds,20.8667,-90.4,Posada Lilia
16,Hithadhoo,MV,82.38,broken clouds,-0.6,73.0833,Scoop Guest House
19,Formosa Do Rio Preto,BR,84.18,clear sky,-11.0483,-45.1931,Porto Center Hotel
25,Kavieng,PG,82.36,light rain,-2.5744,150.7967,Nusa Island Retreat
27,Ormara,PK,85.62,light rain,25.2088,64.6357,Kenara Colony House for Rent
30,Nikolskoye,RU,82.87,clear sky,59.7035,30.7861,Tourist House - Sablino
31,Kapaa,US,76.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
35,Buala,SB,80.42,light rain,-8.145,159.5921,Maringe Lagoon Lodge
43,Frontera Hidalgo,MX,83.86,overcast clouds,14.7833,-92.1667,Hotel Yolonam Inn
46,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Faanui,PF,77.74,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Saint George,US,86.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
53,Atuona,PF,77.7,broken clouds,-9.8,-139.0333,Villa Enata
60,Coahuayana,MX,84.58,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
61,Mbandaka,CD,80.37,broken clouds,0.0487,18.2603,Guest House Epervier
63,Dingle,PH,77.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
64,Champerico,GT,86.54,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
66,Clarksburg,US,86.41,clear sky,39.2807,-80.3445,Greenbrier Motel & Restaurant
68,Sur,OM,88.93,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
69,Atlantic Beach,US,89.82,clear sky,30.3344,-81.3987,One Ocean Resort and Spa
70,Hobyo,SO,78.94,broken clouds,5.3505,48.5268,Iftin hotel hobyo
73,Price,US,77.11,clear sky,39.5994,-110.8107,National 9 - Price River Inn
79,Takestan,IR,75.33,clear sky,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
80,Jamestown,US,76.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
88,Bandarbeyla,SO,87.67,broken clouds,9.4942,50.8122,JABIR HOTEL
89,Bethel,US,80.96,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
93,Neon Karlovasion,GR,89.37,clear sky,37.7903,26.7044,Hotel Aegeon
97,Betare Oya,CM,75.15,moderate rain,5.6,14.0833,Auberge Tembina Betaré Oya
99,Bairiki,KI,80.6,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
103,Ararat,AM,79.14,clear sky,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
104,Culebra,PR,87.89,few clouds,18.303,-65.301,Palmetto Guesthouse
