City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fuerte Olimpo,PY,-21.0415,-57.8738,92.03,25,7,12.8,clear sky
1,Barrow,US,71.2906,-156.7887,39.22,87,40,9.22,smoke
2,Rikitea,PF,-23.1203,-134.9692,74.05,71,2,4.18,clear sky
3,Kodiak,US,57.79,-152.4072,54.91,94,100,3.44,light rain
4,Verkhoyansk,RU,67.5447,133.385,72.9,71,100,12.59,overcast clouds
5,Hermanus,ZA,-34.4187,19.2345,59.81,63,0,4.27,clear sky
6,Bluff,NZ,-46.6,168.3333,50.94,77,59,21,broken clouds
7,Margate,GB,51.3813,1.3862,73.87,51,31,5.01,scattered clouds
8,Provideniya,RU,64.3833,-173.3,47.8,84,98,2.8,overcast clouds
9,Pangnirtung,CA,66.1451,-65.7125,50,71,75,10.36,broken clouds
10,Punta Arenas,CL,-53.15,-70.9167,32.11,93,40,5.75,scattered clouds
11,Carnarvon,AU,-24.8667,113.6333,65.41,26,1,3.47,clear sky
12,East London,ZA,-33.0153,27.9116,61.74,88,20,1.14,few clouds
13,Ugoofaaru,MV,5.6667,73,82.26,79,86,23.96,light rain
14,Vaini,TO,-21.2,-175.2,71.76,94,75,8.05,broken clouds
15,Celestun,MX,20.8667,-90.4,84.34,63,53,4.32,broken clouds
16,Hithadhoo,MV,-0.6,73.0833,82.38,73,72,3.6,broken clouds
17,Tiksi,RU,71.6872,128.8694,38.48,99,94,3.83,overcast clouds
18,Galveston,US,29.3669,-94.9669,91.04,74,20,12.66,few clouds
19,Formosa Do Rio Preto,BR,-11.0483,-45.1931,84.18,30,3,9.75,clear sky
20,Aksarka,RU,66.5606,67.7975,54.1,60,100,11.41,overcast clouds
21,Bredasdorp,ZA,-34.5322,20.0403,57.49,64,0,7.27,clear sky
22,Yamada,JP,39.4667,141.95,70.02,92,5,4.63,clear sky
23,Ushuaia,AR,-54.8,-68.3,35.22,93,75,3.44,broken clouds
24,Sayat,TM,38.7839,63.8803,84.07,16,0,17.87,clear sky
25,Kavieng,PG,-2.5744,150.7967,82.36,81,100,15.64,light rain
26,Mandurah,AU,-32.55,115.7,58.91,53,1,18.05,clear sky
27,Ormara,PK,25.2088,64.6357,85.62,84,89,6.55,light rain
28,Upernavik,GL,72.7868,-56.1549,38.23,77,8,11.5,clear sky
29,Port Lincoln,AU,-34.7333,135.8667,54.46,81,0,12.48,clear sky
30,Nikolskoye,RU,59.7035,30.7861,82.87,38,4,6.96,clear sky
31,Kapaa,US,22.0752,-159.319,76.98,91,100,19.57,light rain
32,New Norfolk,AU,-42.7826,147.0587,48.92,83,69,1.01,broken clouds
33,Hasaki,JP,35.7333,140.8333,75.6,84,100,9.35,overcast clouds
34,Yatou,CN,37.15,122.3833,74.12,91,92,4.03,overcast clouds
35,Buala,SB,-8.145,159.5921,80.42,83,33,10.83,light rain
36,Chokurdakh,RU,70.6333,147.9167,57.36,67,100,9.42,overcast clouds
37,Avarua,CK,-21.2078,-159.775,64.45,100,4,2.3,clear sky
38,Marawi,PH,7.9986,124.2928,70.38,93,100,2.37,moderate rain
39,Sangmelima,CM,2.9333,11.9833,74.28,89,92,3.04,light rain
40,Lompoc,US,34.6391,-120.4579,59.85,82,75,13,broken clouds
41,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.25,87,75,24.16,broken clouds
42,Dikson,RU,73.5069,80.5464,34.45,91,100,6.73,overcast clouds
43,Frontera Hidalgo,MX,14.7833,-92.1667,83.86,72,88,1.86,overcast clouds
44,Busselton,AU,-33.65,115.3333,64.67,63,91,23.06,overcast clouds
45,Kharp,RU,66.8014,65.8081,52.34,75,100,1.28,overcast clouds
46,Puerto Ayora,EC,-0.7393,-90.3518,75.16,95,82,8.99,broken clouds
47,Port Elizabeth,ZA,-33.918,25.5701,64.09,70,0,5.01,clear sky
48,Ribeira Grande,PT,38.5167,-28.7,70.2,60,75,6.91,broken clouds
49,Faanui,PF,-16.4833,-151.75,77.74,77,17,8.28,light rain
50,Saint George,US,37.1041,-113.5841,86.25,18,0,8.05,clear sky
51,Mataura,NZ,-46.1927,168.8643,49.3,76,81,5.84,broken clouds
52,Qaanaaq,GL,77.484,-69.3632,41.27,78,22,0.98,few clouds
53,Atuona,PF,-9.8,-139.0333,77.7,68,68,24.7,broken clouds
54,Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,4.61,light rain
55,Nome,US,64.5011,-165.4064,53.67,100,100,0,light rain
56,Ponta Do Sol,PT,32.6667,-17.1,72.72,76,33,3.36,scattered clouds
57,Souillac,MU,-20.5167,57.5167,68.38,88,40,19.57,light intensity shower rain
58,Borogontsy,RU,62.6683,131.1683,68.85,91,6,3.06,clear sky
59,Cidreira,BR,-30.1811,-50.2056,68.16,82,37,5.61,scattered clouds
60,Coahuayana,MX,18.7333,-103.6833,84.58,75,98,1.36,overcast clouds
61,Mbandaka,CD,0.0487,18.2603,80.37,66,83,0.4,broken clouds
62,Albany,US,42.6001,-73.9662,77.63,45,2,1.99,clear sky
63,Dingle,PH,10.9995,122.6711,77.77,90,85,2.53,overcast clouds
64,Champerico,GT,14.3,-91.9167,86.54,77,72,3.49,broken clouds
65,Saskylakh,RU,71.9167,114.0833,41.79,82,100,16.91,overcast clouds
66,Clarksburg,US,39.2807,-80.3445,86.41,47,0,6.91,clear sky
67,Balakhninskiy,RU,58.0106,114.2769,61.38,97,100,2.66,moderate rain
68,Sur,OM,22.5667,59.5289,88.93,61,100,12.21,overcast clouds
69,Atlantic Beach,US,30.3344,-81.3987,89.82,66,0,8.05,clear sky
70,Hobyo,SO,5.3505,48.5268,78.94,72,76,28.32,broken clouds
71,Tuktoyaktuk,CA,69.4541,-133.0374,59.43,58,6,11.56,clear sky
72,Sisimiut,GL,66.9395,-53.6735,56.97,45,67,5.14,broken clouds
73,Price,US,39.5994,-110.8107,77.11,43,0,9.22,clear sky
74,Khatanga,RU,71.9667,102.5,45.12,66,100,4.81,overcast clouds
75,Victor Harbor,AU,-35.5667,138.6167,55,87,3,12.48,clear sky
76,Tsogni,GA,-2.7942,10.0988,76.26,69,18,9.98,few clouds
77,Ust-Maya,RU,60.4167,134.5333,68.85,83,7,1.03,light rain
78,Tigil,RU,57.8,158.6667,45.64,89,91,2.48,overcast clouds
79,Takestan,IR,36.0696,49.6959,75.33,59,0,19.66,clear sky
80,Jamestown,US,42.097,-79.2353,76.59,54,0,8.05,clear sky
81,Mugur-Aksy,RU,50.35,90.5,51.35,57,27,3.56,scattered clouds
82,Kang,BW,-23.6752,22.7876,70.81,26,1,5.61,clear sky
83,Chuy,UY,-33.6971,-53.4616,56.01,96,100,11.01,overcast clouds
84,Mariano Escobedo,MX,18.9167,-97.1167,65.68,93,100,3.6,overcast clouds
85,Port Hardy,CA,50.6996,-127.4199,51.98,100,100,4.61,mist
86,Saint-Augustin,CA,51.226,-58.6502,65.82,41,4,19.15,clear sky
87,Krasnoselkup,RU,65.7,82.4667,58.62,47,100,9.89,overcast clouds
88,Bandarbeyla,SO,9.4942,50.8122,87.67,47,74,27.78,broken clouds
89,Bethel,US,41.3712,-73.414,80.96,49,0,9.22,clear sky
90,Ostrovnoy,RU,68.0531,39.5131,53.96,94,75,8.57,broken clouds
91,Castro,BR,-24.7911,-50.0119,73.02,42,0,6.22,clear sky
92,Luderitz,NA,-26.6481,15.1594,59.23,67,0,10.2,clear sky
93,Neon Karlovasion,GR,37.7903,26.7044,89.37,43,0,13.53,clear sky
94,Kaitangata,NZ,-46.2817,169.8464,50.61,70,36,8.08,scattered clouds
95,Mahebourg,MU,-20.4081,57.7,69.26,88,40,19.57,light intensity shower rain
96,Khartoum,SD,15.5518,32.5324,94.01,37,16,3,few clouds
97,Betare Oya,CM,5.6,14.0833,75.15,88,34,4.07,moderate rain
98,Houma,US,29.5958,-90.7195,91,74,40,4.61,scattered clouds
99,Bairiki,KI,1.3292,172.9752,80.6,89,75,13.8,broken clouds
100,Keningau,MY,5.3378,116.1602,72.43,100,100,1.05,overcast clouds
101,Klaksvik,FO,62.2266,-6.589,47.32,89,100,23.06,overcast clouds
102,Moose Factory,CA,51.2585,-80.6094,64.4,72,75,3.44,broken clouds
103,Ararat,AM,39.8317,44.7049,79.14,20,2,1.34,clear sky
104,Culebra,PR,18.303,-65.301,87.89,97,22,8.99,few clouds
105,Hobart,AU,-42.8794,147.3294,48.25,81,100,9.22,overcast clouds
106,Leopold,AU,-38.1833,144.4667,50.45,95,75,6.91,broken clouds
107,Port Alfred,ZA,-33.5906,26.891,61.18,86,69,12.12,broken clouds
108,Berezovyy,RU,51.6667,135.7,68.77,85,99,2.89,overcast clouds
109,Erenhot,CN,43.6475,111.9767,82.51,39,37,3.22,scattered clouds
110,La Romana,DO,18.4273,-68.9728,88.16,66,40,9.22,scattered clouds
111,Hilo,US,19.7297,-155.09,79.29,92,20,5.75,light rain
112,Terrak,NO,65.087,12.3715,62.47,62,100,16.02,moderate rain
113,Rock Sound,BS,24.9,-76.2,81.9,76,8,16.44,clear sky
114,Canon City,US,38.441,-105.2424,83.01,35,0,16.11,clear sky
115,Ziarat,PK,30.3823,67.7282,69.58,66,71,1.61,moderate rain
116,Agadez,NE,19.75,10.25,106.99,7,0,21.52,clear sky
117,Zheleznodorozhnyy,RU,55.7503,38.0042,85.55,37,100,9.78,overcast clouds
118,Aklavik,CA,68.2191,-135.0107,73.4,68,75,2.3,smoke
119,Bangassou,CF,4.7413,22.8184,84.96,59,38,3.18,scattered clouds
120,Cape Town,ZA,-33.9258,18.4232,64.35,64,0,4.92,clear sky
121,Westport,US,41.1415,-73.3579,82.27,45,0,9.22,clear sky
122,Modakeke,NG,7.3833,4.2667,82.6,70,91,3.6,light rain
123,Kimbe,PG,-5.5502,150.1429,76.51,92,78,3.27,light rain
124,Tautira,PF,-17.7333,-149.15,76.96,77,52,13.73,broken clouds
125,Saint Anthony,US,45.0205,-93.218,71.83,93,100,9.22,light rain
126,Tasiilaq,GL,65.6145,-37.6368,46.56,81,80,3.62,broken clouds
127,Aden,YE,12.7794,45.0367,88.9,69,4,19.55,clear sky
128,Merthyr Tydfil,GB,51.7479,-3.3778,65.53,66,100,13.06,overcast clouds
129,Tomatlan,MX,19.9333,-105.25,82.9,74,100,0.63,overcast clouds
130,Te Anau,NZ,-45.4167,167.7167,46.78,88,90,6.58,overcast clouds
131,Lagoa,PT,39.05,-27.9833,64.29,64,68,10.89,broken clouds
132,Lethem,GY,3.3803,-59.7968,86.79,60,61,8.39,broken clouds
133,Namatanai,PG,-3.6667,152.4333,79.3,84,85,9.91,light rain
134,Inirida,CO,3.8653,-67.9239,80.83,85,47,0.92,scattered clouds
135,Esperance,AU,-33.8667,121.9,51.84,57,1,15.73,clear sky
136,Severo-Kurilsk,RU,50.6789,156.125,49.53,81,89,11.83,overcast clouds
137,Lichinga,MZ,-13.3128,35.2406,64.49,59,75,9.22,broken clouds
138,Lebu,CL,-37.6167,-73.65,50.88,74,69,11.36,broken clouds
139,Padron,ES,42.7388,-8.6606,80.13,50,1,6.96,clear sky
140,Saint-Georges,GD,12.0564,-61.7485,85.68,66,20,18.41,few clouds
141,Ayan,RU,56.45,138.1667,57.87,83,1,1.7,clear sky
142,Salalah,OM,17.0151,54.0924,82.49,83,75,9.22,broken clouds
143,Nioro,GM,13.35,-15.75,93.83,43,69,4.83,broken clouds
144,Port-Gentil,GA,-0.7193,8.7815,76.96,78,75,16.11,broken clouds
145,Rio De Janeiro,BR,-22.9028,-43.2075,85.95,61,0,5.75,clear sky
146,Kallithea,GR,37.95,23.7,91.65,13,0,14.97,clear sky
147,Georgetown,MY,5.4112,100.3354,78.73,87,40,4.61,moderate rain
148,Fortuna,US,40.5982,-124.1573,58.93,95,100,1.99,overcast clouds
149,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,77.29,57,2,3.87,clear sky
150,Magadan,RU,59.5667,150.8,54.01,75,94,2.48,overcast clouds
151,Husavik,IS,66.0449,-17.3389,44.4,86,100,14.63,overcast clouds
152,Tambura,SS,5.6,27.4667,82.13,64,100,2.08,overcast clouds
153,Brae,GB,60.3964,-1.353,51.46,81,89,17.94,overcast clouds
154,Port Hawkesbury,CA,45.6169,-61.3485,72.18,65,20,15.01,few clouds
155,Antofagasta,CL,-23.65,-70.4,68.22,56,73,9.24,broken clouds
156,Saldanha,ZA,-33.0117,17.9442,60.85,69,0,10.11,clear sky
157,Garowe,SO,8.4054,48.4845,85.6,35,59,29.33,broken clouds
158,Zarichne,UA,51.8126,26.129,79.41,55,94,3.53,overcast clouds
159,Port Blair,IN,11.6667,92.75,78.84,94,100,2.3,drizzle
160,Stepnogorsk,KZ,52.3544,71.8869,64.67,73,77,12.17,broken clouds
161,Sitka,US,57.0531,-135.33,55.29,94,100,0,mist
162,Iquique,CL,-20.2208,-70.1431,60.84,65,92,7.74,overcast clouds
163,Merauke,ID,-8.4667,140.3333,77.72,90,100,9.82,overcast clouds
164,Atar,MR,20.5169,-13.0499,107.51,13,58,10.11,broken clouds
165,Meulaboh,ID,4.1363,96.1285,77.13,84,100,6.85,overcast clouds
166,Kloulklubed,PW,7.0419,134.2556,73.9,83,100,4.09,very heavy rain
167,Butaritari,KI,3.0707,172.7902,82.76,74,100,20.71,overcast clouds
168,Srednekolymsk,RU,67.45,153.6833,55.54,56,66,5.73,broken clouds
169,Mar Del Plata,AR,-38.0023,-57.5575,53.1,68,0,5.75,light rain
170,Maniitsoq,GL,65.4167,-52.9,47.34,75,99,1.1,overcast clouds
171,Rundu,NA,-17.9333,19.7667,78.66,21,3,6.6,clear sky
172,Lyubim,RU,58.3625,40.6843,78.13,48,6,4.16,clear sky
173,Nuuk,GL,64.1835,-51.7216,50.61,87,75,4.61,light rain
174,Axim,GH,4.8699,-2.2405,79.38,74,100,11.81,overcast clouds
175,Cururupu,BR,-1.8283,-44.8683,84.27,65,7,8.84,clear sky
176,Along,IN,28.1667,94.7667,77.36,98,24,0.51,few clouds
177,Socorro,US,31.6546,-106.3033,83.3,40,75,11.5,broken clouds
178,Iracoubo,GF,5.4802,-53.2011,83.52,69,54,8.7,broken clouds
179,Narsaq,GL,60.9167,-46.05,52.02,97,100,1.95,light rain
180,Urusha,RU,54.05,122.9,65.01,91,8,5.06,clear sky
181,Alekseyevka,RU,50.6309,38.6903,77.97,66,93,5.26,overcast clouds
182,Naze,JP,28.3667,129.4833,77.92,87,100,13.04,overcast clouds
183,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,60,46,8.97,scattered clouds
184,Mersing,MY,2.4312,103.8405,80.51,89,20,3.44,few clouds
185,Makushino,RU,55.2103,67.2442,56.17,84,100,19.37,overcast clouds
186,Haines Junction,CA,60.7522,-137.5108,55.35,71,9,1.14,clear sky
187,Balkhash,KZ,46.844,74.9804,71.82,57,98,10.76,overcast clouds
188,Ancud,CL,-41.8697,-73.8203,43.23,84,100,22.06,moderate rain
189,Nemuro,JP,43.3236,145.575,55.26,100,100,7.96,overcast clouds
190,Mingshui,CN,36.7167,117.5,78.44,87,3,7.65,clear sky
191,Abu Samrah,SY,35.3029,37.1841,96.51,15,0,14.85,clear sky
192,Taltal,CL,-25.4,-70.4833,64.63,58,12,4.7,few clouds
193,Coihaique,CL,-45.5752,-72.0662,37.35,75,40,0,scattered clouds
194,Oistins,BB,13.0667,-59.5333,87.89,58,40,18.41,scattered clouds
195,Clarence Town,AU,-32.5833,151.7833,61.86,98,100,4.43,light rain
196,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.2,78,40,3.44,scattered clouds
197,Jibuti,DJ,11.5,42.5,100.6,19,8,9.04,clear sky
198,Hami,CN,42.8,93.45,85.69,12,0,7.05,clear sky
199,Mitzic,GA,0.7821,11.549,78.49,67,80,2.95,light rain
200,Lasa,IT,46.6166,10.7002,73.69,70,100,3.69,overcast clouds
201,Lorengau,PG,-2.0226,147.2712,80.1,83,100,3.04,moderate rain
202,Nouakchott,MR,18.0858,-15.9785,84.13,70,50,11.18,scattered clouds
203,Lucea,JM,18.451,-78.1736,85.86,70,100,10.54,overcast clouds
204,Pacora,PA,9.0833,-79.2833,80.58,90,75,6.91,broken clouds
205,Iskateley,RU,67.6803,53.1512,74.14,52,36,11.54,scattered clouds
206,Robertsport,LR,6.7533,-11.3686,79.74,73,92,14.65,overcast clouds
207,Bintulu,MY,3.1667,113.0333,79.21,89,40,3.44,scattered clouds
208,Marinette,US,45.1,-87.6307,79.25,78,0,9.22,clear sky
209,Hervey Bay,AU,-25.2986,152.8535,53.02,95,100,5.01,overcast clouds
210,Isangel,VU,-19.55,169.2667,75.31,100,20,0,few clouds
211,Lata,PT,40.1629,-8.3327,83.48,51,4,11.16,clear sky
212,Iqaluit,CA,63.7506,-68.5145,51.53,57,100,12.66,light rain
213,Abu Kamal,SY,34.4506,40.9171,101.46,7,0,18.3,clear sky
214,Thompson,CA,55.7435,-97.8558,57.36,58,20,9.22,few clouds
215,Belaya Gora,RU,68.5333,146.4167,63.45,55,79,10.38,broken clouds
216,Naryan-Mar,RU,67.6713,53.087,74.43,52,36,11.81,scattered clouds
217,Khipro,PK,25.8285,69.3772,95.68,49,91,10,overcast clouds
218,Pizhma,RU,57.8642,47.1171,66.9,53,76,5.17,broken clouds
219,Adre,TD,13.4667,22.2,75.43,67,85,13.35,moderate rain
220,Cabo San Lucas,MX,22.8909,-109.9124,89.91,48,0,0,clear sky
221,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,57,0,14.97,clear sky
222,Pevek,RU,69.7008,170.3133,37.27,89,95,3,overcast clouds
223,Shubarshi,KZ,48.5872,57.1869,72.05,46,45,11.61,scattered clouds
224,Saint-Pierre,RE,-21.3393,55.4781,69.3,77,75,0,broken clouds
225,Gilgit,PK,35.9221,74.3087,93.27,38,52,3.87,broken clouds
226,Yerbogachen,RU,61.2767,108.0108,58.42,70,100,2.35,overcast clouds
227,Hare Bay,CA,48.8499,-54.0148,72.75,91,100,5.88,overcast clouds
228,Ahipara,NZ,-35.1667,173.1667,53.51,84,100,7.2,overcast clouds
229,Clyde River,CA,70.4692,-68.5914,39.43,87,40,17.27,scattered clouds
230,Hay River,CA,60.8156,-115.7999,64.38,55,20,2.3,few clouds
231,Togur,RU,58.3631,82.8265,59.13,80,41,5.48,scattered clouds
232,Airai,TL,-8.9266,125.4092,58.42,97,100,4.27,overcast clouds
233,Arrifes,PT,37.7667,-25.7,66.45,64,75,13.8,broken clouds
234,San Policarpo,PH,12.1791,125.5072,78.53,82,75,3.58,broken clouds
235,Oga,IT,46.4631,10.347,68.54,71,99,4.25,overcast clouds
236,Genhe,CN,50.7833,121.5167,64.58,98,68,3.47,broken clouds
237,Codrington,AU,-38.2667,141.9667,51.67,85,6,11.21,clear sky
238,Mattru,SL,7.6244,-11.8332,78.19,89,98,6.15,moderate rain
239,Taranagar,IN,28.6709,75.0351,98.49,41,100,4.97,overcast clouds
240,Katangli,RU,51.7102,143.2326,51.51,85,5,8.12,clear sky
241,Otradnoye,RU,59.7775,30.8181,83.03,39,5,7.49,clear sky
242,Tura,IN,25.5198,90.2201,77.07,88,55,3.56,broken clouds
243,Skibbereen,IE,51.55,-9.2667,60.12,62,2,12.46,clear sky
244,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,40,19.57,light intensity shower rain
